model,MAE,RMSE,MAPE,sMAPE,WAPE,R2,RMSLE,n
MeanGrowth,116073.44110568894,382845.7824645197,8.734508631028987,8.480434301245717,12.190122544386396,0.9330081575281814,0.11959191432168528,340
RandomForest,146154.03734977797,550962.3092118516,8.949944229264743,9.437475526980158,15.349210023233292,0.8612547996299977,0.1332906013677247,340
GradientBoosting,152487.34489641406,522037.34509886155,9.800376536956676,10.372609176161804,16.014338879320913,0.875440363349247,0.136659762449509,340
LightGBM,166160.99440093292,614262.9314763014,9.902860650920719,10.68804908209934,17.450356124103916,0.8275422149056972,0.1486756730641023,340
Naive,145713.13735294115,393760.09343926696,12.53338302217456,13.625866862068973,15.302906364618,0.9291340543421513,0.166542096270196,340
XGBoost,190033.09090992648,688722.9252921578,11.296090110885288,12.22691769919882,19.95742215974493,0.7831980086558775,0.16689795320483594,340
LinearRegression,164625.11511160928,414363.88527849363,17.16761173697056,15.591544372838822,17.28905689344535,0.9215237971369391,0.18008990011704742,340
Ridge,166127.17695800192,415062.90294593706,17.578130548196516,15.928413938706756,17.44680459009631,0.9212588004780404,0.18313146635715974,340
ElasticNet,164963.44775183048,404009.214335731,17.87184097750095,16.157596448518376,17.324588848953645,0.9253969250098132,0.18508633709656447,340
Lasso,164426.77122645325,394750.29911143973,18.0374063333107,16.287637094406467,17.26822666524715,0.9287771868248772,0.18613988662943487,340
CatBoost,248156.63588411518,825012.1753022248,16.766132848189564,19.11062947098836,26.06160179980893,0.688903658646882,0.24562560817763732,340
MLP,515443.06719829125,1029852.8275888084,51.73961801848079,63.455011024958694,54.132229508733055,0.5152425195825989,0.8097182883417011,340
